source,target,edge_type,epistemic_status,description,citation
T1-SLC13A5-Protein,T2-CitrateTCAIntegration,confirmed,established,"NaCT transports citrate 3:1 Na+:citrate3-; electrogenic; feeds cytoplasmic citrate pool","Kopel-2021; structural papers (PDB 7JSK/7JSJ)"
T1-SLC13A5-Protein,T2-HepaticLipidMetabolism,confirmed,established,"High-Vmax NaCT in hepatocytes feeds ACLY-derived lipogenesis","Birkenfeld-2011; Kopel-2021"
T1-SLC13A5-Protein,T2-ZincCitrateInteraction,confirmed,established,"NaCT-imported citrate chelates extracellular zinc; reduces metal toxicity","Kumar-2021"
T1-SLC13A5-GeneStructure,T2-TranscriptionalRegulation,confirmed,established,"PXR induces SLC13A5 in liver (not CAR); AhR also active; brain TF enrichment via TFAM/NRF-like","Li-2021-PXR; Ferreira-2026"
T1-VariantCatalog,T2-CitrateTCAIntegration,confirmed,established,"All tested LoF variants converge on near-complete citrate transport loss","Klotz-2016; Jaramillo-Martinez-2024"
T1-ExpressionAtlas,T2-MitochondrialBioenergetics,confirmed,established,"SLC13A5 in turquoise OXPHOS co-expression module; cerebral expression declines postnatally","Ferreira-2026"
T1-INDYOrthologs,T2-HepaticLipidMetabolism,confirmed,established,"mINDY KO metabolic protection recapitulates INDY longevity biology","Birkenfeld-2011; Willmes-2017"
T1-INDYOrthologs,T2-mTORSignaling,confirmed,emerging,"mINDY KO AMPK activation predicts mTORC1 suppression; not directly measured in NaCT context","Birkenfeld-2011; Fan-2021"
T1-InteractingProteins-ACLY,T2-AcetylCoAProduction,confirmed,established,"ACLY cleaves citrate to oxaloacetate + acetyl-CoA; primary acetyl-CoA source for ACh synthesis in cholinergic neurons","Gul-Hinc-2026"
T1-InteractingProteins-ACSS2,T2-AcetylCoAProduction,confirmed,established,"ACSS2 parallel route: acetate to nuclear acetyl-CoA; neuroprotective in tau models","Pourshafie-2026"
T1-InteractingProteins-ZIP1,T2-ZincCitrateInteraction,confirmed,established,"ZIP1 zinc uptake inhibits aconitase; cataplerosis in osteoblasts leads to excess mineral citrate","Dirckx-2022"
T1-InteractingProteins-SLC25A1,T2-CitrateTCAIntegration,confirmed,established,"SLC25A1 exports mitochondrial citrate to cytoplasm; interplays with NaCT-derived cytoplasmic citrate pool","Dirckx-2022; mechanistic inference"
T2-CitrateTCAIntegration,T2-AcetylCoAProduction,confirmed,established,"Cytoplasmic citrate to ACLY to acetyl-CoA; feeds ACh synthesis and histone acetylation","Gul-Hinc-2026; Pourshafie-2026"
T2-CitrateTCAIntegration,T2-GABAMetabolism,confirmed,emerging,"Citrate to isocitrate to alpha-KG to glutamate to GABA; TCA-derived GABA precursor chain","Kopel-2021; mechanistic chain"
T2-CitrateTCAIntegration,T2-NMDAModulation,confirmed,emerging,"Extracellular citrate chelates zinc and modulates NMDA receptor tone","Kumar-2021; zinc-citrate interaction"
T2-AcetylCoAProduction,T2-HistoneAcetylation,confirmed,speculative,"Cytoplasmic acetyl-CoA from ACLY enters nucleus and supports H3K27ac/H3K9ac at synaptic genes; not demonstrated in NaCT-deficient neurons","Pourshafie-2026; cross-domain inference"
T2-HepaticLipidMetabolism,T2-MitochondrialBioenergetics,confirmed,established,"AMPK to PGC-1alpha to mitochondrial biogenesis; both activated by NaCT loss in hepatocytes","Birkenfeld-2011"
T2-HepaticLipidMetabolism,T2-mTORSignaling,confirmed,emerging,"AMPK to TSC2 to Rheb to mTORC1 suppression; predicted secondary consequence of NaCT loss in hepatocytes","Birkenfeld-2011; mTOR axis inference"
T2-ZincCitrateInteraction,T2-NMDAModulation,confirmed,speculative,"Zinc modulates NMDA receptor activity; citrate buffering alters zinc availability for NMDA modulation","Cross-domain inference"
T2-Anaplerosis,T2-CitrateTCAIntegration,confirmed,emerging,"Alternative anaplerosis (glutamine, acetate, ketone bodies) compensates for absent NaCT-citrate; KD worsening suggests compensation is incomplete","Kopel-2021; KD worsening context (Klotz-2016)"
T2-mTORSignaling,T2-MitochondrialBioenergetics,confirmed,mixed,"mTORC1 suppression to autophagy; AMPK to mitochondrial biogenesis; established in general signaling; speculative in NaCT-specific context","Established signaling literature"
T2-TranscriptionalRegulation,T2-HepaticLipidMetabolism,confirmed,established,"PXR induction of SLC13A5 in liver increases citrate import and downstream lipogenesis","Li-2021-PXR"
T2-CitrateTCAIntegration,T3-UrinaryMetabolomicsSignature,confirmed,established,"NaCT loss causes accumulation of citrate and TCA intermediates in plasma, urine, and CSF","Bainbridge-2017"
T2-CitrateTCAIntegration,T3-ToothEnamelHypoplasia,confirmed,established,"NaCT loss in osteoblasts/ameloblasts triggers ZIP1 cataplerosis, excess mineral citrate incorporation, and defective enamel","Dirckx-2022"
T2-GABAMetabolism,T3-NeonatalEpilepsy,confirmed,emerging,"Reduced GABA precursor flux reduces inhibitory tone and increases neonatal seizure susceptibility","Kopel-2021; pharmacological response data"
T2-NMDAModulation,T3-NeonatalEpilepsy,confirmed,speculative,"Zinc chelation by citrate modulates NMDA excitability; NaCT loss may alter zinc-NMDA balance in neonatal brain","Cross-domain inference"
T2-AcetylCoAProduction,T3-IntellectualDisability,confirmed,speculative,"Reduced acetyl-CoA reduces histone acetylation at synaptic genes during critical developmental window; may cause permanent epigenetic deficit","Cross-domain inference; Pourshafie-2026"
T2-HistoneAcetylation,T3-IntellectualDisability,confirmed,speculative,"Failure to establish H3K27ac at synaptic gene loci during critical developmental window leads to irreversible cognitive impairment","Cross-domain inference"
T2-HepaticLipidMetabolism,T3-HepaticMetabolicPhenotype,confirmed,emerging,"Mouse KO metabolic protection (reduced hepatic fat, improved insulin sensitivity) predicts analogous phenotype in DEE25 patients; untested in humans","Birkenfeld-2011 (mouse model)"
T2-HepaticLipidMetabolism,T3-MovementAbnormalities,confirmed,speculative,"ACLY-derived acetyl-CoA for fatty acid synthesis is analogous to myelin lipid synthesis in oligodendrocytes; NaCT loss may impair myelination","Mechanistic analogy; Rigby-2022"
T3-UrinaryMetabolomicsSignature,T4-AlzheimerDisease,confirmed,emerging,"CSF citrate rises with aging (Lin-2021); plasma citrate predicts pre-dementia cognitive decline (Tremblay-Franco-2024); links NaCT biology to AD biomarker space","Lin-2021; Tremblay-Franco-2024"
T3-HepaticMetabolicPhenotype,T4-MetabolicSyndrome,confirmed,unknown,"DEE25 patients represent the only natural human experiment for complete hepatic NaCT loss; hepatic phenotype has not been systematically studied","Brown-Nye-Porter-2021 (absence finding)"
T2-AcetylCoAProduction,T4-AlzheimerDisease,confirmed,mixed,"ACLY to acetyl-CoA to ACh synthesis established; cholinergic deficit is AD hallmark; NaCT upstream of ACLY in cholinergic neurons is speculative","Gul-Hinc-2026"
T2-MitochondrialBioenergetics,T4-AlzheimerDisease,confirmed,emerging,"OXPHOS module co-expression with SLC13A5; KEGG enrichment for AD/PD/HD pathways in turquoise module","Ferreira-2026"
T2-HepaticLipidMetabolism,T4-MetabolicSyndrome,confirmed,established,"AMPK-lipogenesis axis is the hepatic mechanism for metabolic disease protection; established in mouse model","Birkenfeld-2011 (mouse model)"
T2-mTORSignaling,T4-NeurodegenerationBroadly,confirmed,speculative,"mTORC1 suppression to autophagy to aggregate clearance; NaCT connection to neurodegeneration via mTOR is cross-domain inference","Cross-domain inference"
T2-CitrateTCAIntegration,T4-CancerMetabolism,confirmed,established,"Conditional NaCT activity under hypoxia and glutamine deprivation in HCC cell lines; established in cell model","Kumar-2021 (cell model)"
T1-ExpressionAtlas,T4-AlzheimerDisease,inferred,speculative,"Cerebral SLC13A5 expression declines with aging; inferred consequence is reduced NaCT activity in aged cholinergic neurons relevant to AD","Ferreira-2026 trajectory + Gul-Hinc-2026 ACLY-ACh"
T2-HistoneAcetylation,T3-IntellectualDisability,inferred,speculative,"Epigenetic programming failure during critical developmental window leads to permanent cognitive architecture deficit; not directly measured in NaCT-deficient neurons","Pourshafie-2026 (ACSS2 analogy); cross-domain ACLY inference"
T2-mTORSignaling,T3-IntellectualDisability,inferred,speculative,"mTORC1 suppression during synaptogenesis impairs translation-dependent circuit formation; not measured in NaCT-deficient neurons","Cross-domain inference"
T2-GABAMetabolism,T3-MovementAbnormalities,inferred,speculative,"GABA shapes motor circuit excitability in spinal and cortical circuits; connection to DEE25 movement abnormalities is not NaCT-specific","General neuroscience; not NaCT-specific"
T1-InteractingProteins,T3-MovementAbnormalities,inferred,speculative,"SLC13A5 in oligodendrocyte precursor cells may impair myelin lipid synthesis and white matter development; SLC13A5 expression in OPCs not confirmed","Rigby-2022 overexpression data; Dirckx-2022 OPC precedent"
T3-ToothEnamelHypoplasia,T4-AlzheimerDisease,inferred,speculative,"Dental enamel hypoplasia as a lifetime biomarker proxy for NaCT function level; indirect AD-risk inference","Speculative extension; no direct evidence"
